ID,QUESTION,A,B,C,D,CORRECT,DIFFICULTY,TOPIC,YEAR,EXPLANATION,SOURCE
Q011,In an IPO/ the book building process is primarily used to:,Audit the issuer,Collect investor demand to help set price and allocation,Hedge currency exposure,Determine tax residency,B,Medium,IPO,,Underwriters gauge demand across price ranges to set the offer price and allocations.,Investment banking primers
Q012,Which valuation method primarily uses a peer group of publicly traded companies?,Discounted cash flow,Comparable company analysis,Liquidation value,Replacement cost,B,Medium,Valuation,,Trading comps use peer multiples applied to the target's metrics.,Corporate finance basics
Q013,What is the main difference between a bond's coupon rate and its yield to maturity?,They are always equal,"Coupon is the stated interest rate, YTM reflects total return including price and time value","Yield is the stated interest rate, coupon reflects market price","Coupon includes principal repayment, yield does not",B,Medium,Fixed Income,,YTM incorporates the bond's price/ coupon/ time to maturity/ and redemption value.,CFA curriculum
Q014,A rights issue is best described as:,A dividend paid in shares to everyone,An offer to existing shareholders to buy new shares/ usually pro rata,A bond exchange offer,A mandatory stock split,B,Medium,Corporate Finance,,Rights issues raise equity by offering new shares to existing shareholders/ typically at a discount.,Corporate actions guides
Q015,What does 'dilution' typically refer to for existing shareholders?,An increase in EPS due to buybacks,A reduction in ownership percentage due to issuance of new shares,A reduction in debt due to refinancing,A reduction in revenue due to seasonality,B,Medium,Corporate Finance,,Issuing new shares can reduce each existing shareholder's ownership percentage if they do not participate.,Corporate finance basics
Q016,Which is generally considered the most senior claim in a liquidation?,Common equity,Preferred equity,Unsecured debt,Secured debt,D,Medium,Credit,,Secured creditors have claims backed by collateral and are typically paid before unsecured creditors and equity.,Credit fundamentals
Q017,What is duration in fixed income used to approximate?,Credit spread changes,Interest rate sensitivity of a bond's price,Liquidity of a bond,Inflation expectations,B,Medium,Fixed Income,,Duration measures the approximate price change for a given change in yields.,CFA curriculum
Q018,What is the purpose of an interest rate swap for a borrower?,Increase equity capital,Convert interest rate exposure/ such as fixed to floating or vice versa,Guarantee credit ratings,Eliminate taxes,B,Medium,Derivatives,,Swaps are used to manage interest rate risk by exchanging cash flow streams.,ISDA / derivatives basics
Q019,Which metric best captures operating profitability before financing and taxes?,Net income,EBIT,Free cash flow to equity,EPS,B,Medium,Accounting,,EBIT focuses on operating earnings before interest and taxes.,Corporate finance basics
Q020,Which institution is responsible for monetary policy in the Eurozone?,International Monetary Fund,European Central Bank,European Commission,World Bank,B,Medium,Macro,,The ECB sets key policy rates and conducts monetary policy for the euro area.,ECB
Q021,In an LBO model/ the single biggest driver of equity returns is typically:,Management fees,Entry and exit valuation multiple and deleveraging over time,GAAP depreciation policy,Inventory accounting method,B,Hard,M&A / LBO,,IRR is heavily influenced by purchase price vs exit multiple and debt paydown from cash flows.,Private equity modeling guides
Q022,If a company has negative EBITDA/ which valuation multiple is usually least meaningful?,EV/Sales,Price/Book,EV/EBITDA,EV/Users,C,Hard,Valuation,,EV/EBITDA is not meaningful when EBITDA is negative because the denominator is negative or near zero.,Valuation practice
Q023,Which is generally the largest IPO by proceeds (commonly cited)?,Visa 2008,Alibaba 2014,Saudi Aramco 2019,Facebook 2012,C,Hard,IPO,2019,Saudi Aramco's 2019 offering is widely cited as the largest by proceeds.,Exchange / financial press summaries
Q024,Which deal is widely cited as one of the largest M&A transactions by value?,Disney Pixar,Vodafone Mannesmann,Facebook Instagram,Microsoft LinkedIn,B,Hard,M&A,2000,Vodafone's acquisition of Mannesmann (announced 1999/ completed 2000) is frequently cited among the largest deals.,M&A league tables / financial press
Q025,In banking regulation/ Basel III primarily focuses on strengthening:,Corporate governance codes only,Bank capital and liquidity requirements,Equity market circuit breakers,Accounting revenue recognition,B,Hard,Regulation,,Basel III increased capital buffers and introduced liquidity standards like LCR and NSFR.,BIS / Basel Committee
Q026,What is the difference between gross margin and operating margin?,"Gross margin includes interest expense, operating margin does not","Gross margin is after COGS, operating margin is after operating expenses like SG&A","Operating margin is before revenue, gross margin is after revenue",They are identical,B,Hard,Accounting,,"Gross margin = (Revenue - COGS)/Revenue, operating margin includes operating expenses beyond COGS.",Corporate finance basics
Q027,Free cash flow to the firm (FCFF) is best described as cash available to:,Only equity holders,Both debt and equity holders,Only preferred shareholders,Only management,B,Hard,Valuation,,FCFF is available to all providers of capital before financing payments.,Damodaran
Q028,What is the primary purpose of an equity research target price?,Guarantee future returns,Provide an analyst's estimate of fair value based on assumptions and a time horizon,Set the IPO offer price,Determine coupon rates on bonds,B,Hard,Equity Research,,"Target prices reflect valuation assumptions and a defined horizon, they are not guarantees.",Sell-side research practice
Q029,In capital markets/ 'greenshoe' refers to:,A fee paid to auditors,An overallotment option allowing underwriters to sell additional shares,A covenant in bond indentures,A dividend reinvestment plan,B,Hard,IPO,,The greenshoe option helps stabilize trading and manage excess demand by allowing additional shares to be sold.,IPO process guides
Q030,Which statement best describes ROIC?,Net income divided by total assets,Operating profit after tax divided by invested capital,EBITDA divided by revenue,Market cap divided by equity,B,Hard,Corporate Finance,,ROIC measures returns generated on the capital invested in the business operations.,Corporate finance basics
